event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition
20190917X42103,Incident,2019-09-11,"Nassau, Bahamas",Bahamas,Non-Fatal,unknown,Airplane,airbus,A321,No,2.0,Turbo Fan,0.0,0.0,0.0,180.0,unknown
20191127X60120,Accident,2019-09-11,"Reno, NV",United States,Non-Fatal,Substantial,Airplane,pitts,S1,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20191204X31909,Incident,2019-09-11,"Malaga, Spain",Spain,unknown,unknown,Airplane,boeing,737,No,0.0,unknown,0.0,0.0,0.0,0.0,unknown
20200603X55158,Accident,2019-09-11,"Chicago OHare, IL",United States,Non-Fatal,Minor,Airplane,bombardier,CL 600 2C10,No,0.0,unknown,0.0,0.0,0.0,114.0,VMC
20190912X05539,Accident,2019-09-12,"Hemet, CA",United States,Non-Fatal,Substantial,Airplane,cessna,172F,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190912X11044,Accident,2019-09-12,"Phoenix, AZ",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190912X15638,Accident,2019-09-12,"Memphis, TN",United States,Non-Fatal,Substantial,Airplane,cessna,150,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190912X21218,Accident,2019-09-12,"Bowie, MD",United States,Non-Fatal,Substantial,Airplane,mooney,M20J,No,1.0,Reciprocating,0.0,2.0,0.0,0.0,VMC
20190912X21831,Accident,2019-09-12,"Eustace, TX",United States,Fatal,Substantial,Powered Parachute,infinity_power_parachutes,IPP2,No,1.0,Reciprocating,1.0,0.0,0.0,0.0,VMC
20190912X71702,Accident,2019-09-12,"Hill City, SD",United States,Non-Fatal,Substantial,Helicopter,bell,206,No,0.0,unknown,0.0,0.0,0.0,2.0,VMC
20190912X74625,Accident,2019-09-12,"Charlotte Amalie,",United States,Non-Fatal,Substantial,Airplane,piper,PA23,No,2.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190912X81942,Accident,2019-09-12,"Good Springs, NV",United States,Non-Fatal,Substantial,Balloon,kubicek,BB60,No,0.0,unknown,0.0,6.0,3.0,0.0,VMC
20191010X13449,Incident,2019-09-12,"Nanded, India",India,Non-Fatal,Minor,Airplane,cessna,525,No,0.0,unknown,0.0,0.0,0.0,8.0,unknown
20190913X95610,Accident,2019-09-13,"Caldwell, ID",United States,Non-Fatal,Substantial,Airplane,cessna,P206,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
